0;1;
0.039992;1.0004;
0.079984;1.0016;
0.119976;1.0036;
0.159968;1.0064;
0.19996;1.01;
0.239952;1.01439;
0.279944;1.01959;
0.319935;1.02559;
0.359927;1.03239;
0.399919;1.03998;
0.439911;1.04838;
0.479902;1.05758;
0.519894;1.06757;
0.559885;1.07837;
0.599876;1.08996;
0.639867;1.10236;
0.679859;1.11555;
0.719849;1.12954;
0.75984;1.14434;
0.799831;1.15993;
0.839821;1.17632;
0.879811;1.19351;
0.919801;1.2115;
0.959791;1.23029;
0.99978;1.24988;
1.03977;1.27026;
1.07976;1.29145;
1.11975;1.31344;
1.15974;1.33622;
1.19972;1.35981;
1.23971;1.38419;
1.2797;1.40937;
1.31968;1.43535;
1.35967;1.46213;
1.39966;1.4897;
1.43964;1.51808;
1.47962;1.54725;
1.51961;1.57722;
1.55959;1.60799;
1.59957;1.63956;
1.63955;1.67192;
1.67953;1.70509;
1.71951;1.73905;
1.75949;1.7738;
1.79947;1.80935;
1.83944;1.8457;
1.87941;1.88285;
1.91939;1.92079;
1.95936;1.95952;
1.99933;1.99905;
2.03929;2.03938;
2.07926;2.08049;
2.11922;2.12241;
2.15918;2.16511;
2.19914;2.20861;
2.23909;2.25289;
2.27904;2.29797;
2.31899;2.34384;
2.35893;2.3905;
2.39887;2.43794;
2.4388;2.48617;
2.47873;2.53518;
2.51866;2.58498;
2.55858;2.63556;
2.59849;2.68692;
2.63839;2.73906;
2.67829;2.79197;
2.71818;2.84566;
2.75806;2.90011;
2.79793;2.95534;
2.83778;3.01132;
2.87763;3.06807;
2.91746;3.12557;
2.95728;3.18383;
2.99708;3.24283;
3.03687;3.30256;
3.07663;3.36304;
3.11637;3.42423;
3.15609;3.48614;
3.19578;3.54876;
3.23545;3.61208;
3.27508;3.67608;
3.31467;3.74076;
3.35423;3.80609;
3.39374;3.87206;
3.4332;3.93865;
3.47261;4.00584;
3.51196;4.07361;
3.55124;4.14193;
3.59045;4.21076;
3.62958;4.28007;
3.66861;4.34983;
3.70754;4.42;
3.74635;4.4905;
3.78504;4.56131;
3.82358;4.63234;
3.86196;4.70352;
3.90016;4.77478;
3.93815;4.84602;
